geoid,geoid20,year,denom_total_pop,well_count,well_rate
1400000US06037134520,6037134520,2020,5761,0,0
1400000US06037134521,6037134521,2020,3344,0,0
1400000US06037134522,6037134522,2020,4574,0,0
1400000US06037134710,6037134710,2020,5398,0,0
1400000US06037134720,6037134720,2020,5421,0,0
1400000US06037134801,6037134801,2020,3333,0,0
1400000US06037134802,6037134802,2020,3107,0,0
1400000US06037134901,6037134901,2020,2691,0,0
1400000US06037134904,6037134904,2020,4452,0,0
1400000US06037134905,6037134905,2020,5074,0,0
1400000US06037134906,6037134906,2020,3042,0,0
1400000US06037134907,6037134907,2020,3325,0,0
1400000US06037135102,6037135102,2020,3867,0,0
1400000US06037135111,6037135111,2020,4050,0,0
1400000US06037135113,6037135113,2020,3138,0,0
1400000US06037135115,6037135115,2020,3110,0,0
1400000US06037135116,6037135116,2020,1463,0,0
1400000US06037135201,6037135201,2020,3013,0,0
1400000US06037135202,6037135202,2020,4618,0,0
1400000US06037135204,6037135204,2020,5135,0,0
1400000US06037135205,6037135205,2020,1938,13,67.07946
1400000US06037137000,6037137000,2020,5184,0,0
1400000US06037137103,6037137103,2020,5540,0,0
1400000US06037137104,6037137104,2020,2579,0,0
1400000US06037137202,6037137202,2020,3281,0,0
1400000US06037137203,6037137203,2020,2609,0,0
1400000US06037137301,6037137301,2020,2314,0,0
1400000US06037137302,6037137302,2020,4392,2,4.5537338
1400000US06037137401,6037137401,2020,4091,0,0
1400000US06037137402,6037137402,2020,5626,0,0
1400000US06037137501,6037137501,2020,5254,0,0
1400000US06037137502,6037137502,2020,4337,0,0
1400000US06037137504,6037137504,2020,1928,0,0
1400000US06037138000,6037138000,2020,4766,0,0
1400000US06037139001,6037139001,2020,5561,0,0
1400000US06037139200,6037139200,2020,5994,0,0
1400000US06037139301,6037139301,2020,4106,0,0
1400000US06037139302,6037139302,2020,5016,0,0
1400000US06037139303,6037139303,2020,4682,0,0
1400000US06037139401,6037139401,2020,2488,0,0
1400000US06037139402,6037139402,2020,2979,0,0
1400000US06037139502,6037139502,2020,3004,0,0
1400000US06037139504,6037139504,2020,4128,0,0
1400000US06037139505,6037139505,2020,2965,0,0
1400000US06037139506,6037139506,2020,3416,1,2.9274004
1400000US06037139600,6037139600,2020,5241,0,0
1400000US06037139701,6037139701,2020,5889,0,0
1400000US06037139703,6037139703,2020,2747,2,7.2806697
1400000US06037139704,6037139704,2020,2620,0,0
1400000US06037139705,6037139705,2020,3820,0,0
1400000US06037139801,6037139801,2020,3478,0,0
1400000US06037139802,6037139802,2020,4041,1,2.4746349
1400000US06037141101,6037141101,2020,4757,0,0
1400000US06037141102,6037141102,2020,3120,0,0
1400000US06037141201,6037141201,2020,4201,0,0
1400000US06037141202,6037141202,2020,3001,0,0
1400000US06037141303,6037141303,2020,3436,0,0
1400000US06037141304,6037141304,2020,3185,0,0
1400000US06037141305,6037141305,2020,2606,0,0
1400000US06037141306,6037141306,2020,3240,0,0
1400000US06037141400,6037141400,2020,5366,0,0
1400000US06037141500,6037141500,2020,3015,0,0
1400000US06037141600,6037141600,2020,4198,0,0
1400000US06037141700,6037141700,2020,3342,0,0
1400000US06037143101,6037143101,2020,2074,0,0
1400000US06037143102,6037143102,2020,2139,0,0
1400000US06037143200,6037143200,2020,4351,0,0
1400000US06037143301,6037143301,2020,3586,0,0
1400000US06037143302,6037143302,2020,3104,0,0
1400000US06037143401,6037143401,2020,5602,0,0
1400000US06037143402,6037143402,2020,1973,0,0
1400000US06037143500,6037143500,2020,5633,0,0
1400000US06037143602,6037143602,2020,4897,0,0
1400000US06037143603,6037143603,2020,2442,0,0
1400000US06037143605,6037143605,2020,1803,0,0
1400000US06037143606,6037143606,2020,1701,0,0
1400000US06037143700,6037143700,2020,3767,0,0
1400000US06037143801,6037143801,2020,3342,0,0
1400000US06037143802,6037143802,2020,2501,0,0
1400000US06037143901,6037143901,2020,4363,0,0
1400000US06037143902,6037143902,2020,2860,0,0
1400000US06037181000,6037181000,2020,6357,0,0
1400000US06037181300,6037181300,2020,3959,0,0
1400000US06037181400,6037181400,2020,4797,0,0
1400000US06037181500,6037181500,2020,3934,0,0
1400000US06037181600,6037181600,2020,4697,0,0
1400000US06037183101,6037183101,2020,2749,0,0
1400000US06037183103,6037183103,2020,4800,0,0
1400000US06037183104,6037183104,2020,1985,0,0
1400000US06037183220,6037183220,2020,3597,0,0
1400000US06037183221,6037183221,2020,3779,0,0
1400000US06037183222,6037183222,2020,3569,0,0
1400000US06037183300,6037183300,2020,3528,0,0
1400000US06037183401,6037183401,2020,2439,0,0
1400000US06037183402,6037183402,2020,3020,0,0
1400000US06037183510,6037183510,2020,2535,0,0
1400000US06037183520,6037183520,2020,3676,0,0
1400000US06037183610,6037183610,2020,2919,0,0
1400000US06037183620,6037183620,2020,3038,0,0
1400000US06037183701,6037183701,2020,3382,0,0
1400000US06037183702,6037183702,2020,2995,0,0
1400000US06037183810,6037183810,2020,4130,0,0
1400000US06037183820,6037183820,2020,3452,0,0
1400000US06037185101,6037185101,2020,2869,0,0
1400000US06037185102,6037185102,2020,3459,0,0
1400000US06037185202,6037185202,2020,4162,1,2.4026911
1400000US06037185203,6037185203,2020,2862,0,0
1400000US06037185204,6037185204,2020,1923,0,0
1400000US06037185310,6037185310,2020,3180,0,0
1400000US06037185320,6037185320,2020,2957,0,0
1400000US06037186100,6037186100,2020,4929,1,2.0288091
1400000US06037186201,6037186201,2020,3608,0,0
1400000US06037186202,6037186202,2020,1920,0,0
1400000US06037186203,6037186203,2020,3113,0,0
1400000US06037186301,6037186301,2020,2749,0,0
1400000US06037186302,6037186302,2020,5282,0,0
1400000US06037186401,6037186401,2020,3198,0,0
1400000US06037186403,6037186403,2020,2809,0,0
1400000US06037186404,6037186404,2020,2809,0,0
1400000US06037187101,6037187101,2020,3213,0,0
1400000US06037187102,6037187102,2020,4376,0,0
1400000US06037187200,6037187200,2020,3324,0,0
1400000US06037187300,6037187300,2020,3715,0,0
1400000US06037188100,6037188100,2020,3960,0,0
1400000US06037188201,6037188201,2020,3262,0,0
1400000US06037188202,6037188202,2020,2887,0,0
1400000US06037188300,6037188300,2020,3822,0,0
1400000US06037189101,6037189101,2020,2600,0,0
1400000US06037189102,6037189102,2020,3960,0,0
1400000US06037189201,6037189201,2020,3088,0,0
1400000US06037189202,6037189202,2020,2781,0,0
1400000US06037189300,6037189300,2020,3212,0,0
1400000US06037189400,6037189400,2020,3145,0,0
1400000US06037189501,6037189501,2020,2179,0,0
1400000US06037189502,6037189502,2020,2049,0,0
1400000US06037189600,6037189600,2020,3825,0,0
1400000US06037189702,6037189702,2020,2436,0,0
1400000US06037189703,6037189703,2020,1880,1,5.319149
1400000US06037189704,6037189704,2020,1471,0,0
1400000US06037189801,6037189801,2020,1839,0,0
1400000US06037189802,6037189802,2020,2158,0,0
1400000US06037189903,6037189903,2020,2182,0,0
1400000US06037189904,6037189904,2020,2382,0,0
1400000US06037189905,6037189905,2020,2615,0,0
1400000US06037189906,6037189906,2020,2634,0,0
1400000US06037189907,6037189907,2020,2418,0,0
1400000US06037190101,6037190101,2020,1653,0,0
1400000US06037190102,6037190102,2020,2716,0,0
1400000US06037190201,6037190201,2020,2895,0,0
1400000US06037190202,6037190202,2020,3256,0,0
1400000US06037190302,6037190302,2020,2985,0,0
1400000US06037190303,6037190303,2020,2850,0,0
1400000US06037190401,6037190401,2020,2996,0,0
1400000US06037190402,6037190402,2020,2070,0,0
1400000US06037190510,6037190510,2020,3815,0,0
1400000US06037190520,6037190520,2020,4144,0,0
1400000US06037190701,6037190701,2020,1693,0,0
